blockHash, blockNum, TimeOfArrival, parentBlockHash
78c54402-100e-11ec-8ac6-b587e4952d4b, 3, 904.12846 sec, 78c543a2-100e-11ec-8ac6-b587e4952d4b
78c54466-100e-11ec-8ac6-b587e4952d4b, 6, 2157.55606 sec, 78c5442b-100e-11ec-8ac6-b587e4952d4b
78c5453f-100e-11ec-8ac6-b587e4952d4b, 9, 3531.08991 sec, 78c54520-100e-11ec-8ac6-b587e4952d4b
78c54656-100e-11ec-8ac6-b587e4952d4b, 11, 5706.72985 sec, 78c54593-100e-11ec-8ac6-b587e4952d4b
78c546aa-100e-11ec-8ac6-b587e4952d4b, 13, 6260.06496 sec, 78c54677-100e-11ec-8ac6-b587e4952d4b
78c54749-100e-11ec-8ac6-b587e4952d4b, 15, 7181.86922 sec, 78c546e1-100e-11ec-8ac6-b587e4952d4b
79567ecb-100e-11ec-8ac6-b587e4952d4b, 19, 12965.47375 sec, 79567e64-100e-11ec-8ac6-b587e4952d4b
7956804f-100e-11ec-8ac6-b587e4952d4b, 24, 14674.288279999999 sec, 79568017-100e-11ec-8ac6-b587e4952d4b
795680ac-100e-11ec-8ac6-b587e4952d4b, 26, 15216.96486 sec, 79568071-100e-11ec-8ac6-b587e4952d4b
79fd2402-100e-11ec-8ac6-b587e4952d4b, 37, 21153.78211 sec, 79fd23b5-100e-11ec-8ac6-b587e4952d4b
79fd2441-100e-11ec-8ac6-b587e4952d4b, 39, 21979.059670000002 sec, 79fd2419-100e-11ec-8ac6-b587e4952d4b
7a9c1052-100e-11ec-8ac6-b587e4952d4b, 51, 28202.10435 sec, 7a9c101c-100e-11ec-8ac6-b587e4952d4b
7b3a7400-100e-11ec-8ac6-b587e4952d4b, 58, 30475.903489999997 sec, 7b3a73d4-100e-11ec-8ac6-b587e4952d4b
7b3a7425-100e-11ec-8ac6-b587e4952d4b, 59, 30509.16004 sec, 7b3a7400-100e-11ec-8ac6-b587e4952d4b
7b3a7562-100e-11ec-8ac6-b587e4952d4b, 63, 32818.92739 sec, 7b3a7504-100e-11ec-8ac6-b587e4952d4b
7b3a7607-100e-11ec-8ac6-b587e4952d4b, 66, 35197.04488 sec, 7b3a75c1-100e-11ec-8ac6-b587e4952d4b
7bda8d7f-100e-11ec-8ac6-b587e4952d4b, 72, 37628.969229999995 sec, 7bda8d28-100e-11ec-8ac6-b587e4952d4b
7bda8f97-100e-11ec-8ac6-b587e4952d4b, 77, 42234.92716 sec, 7bda8ef0-100e-11ec-8ac6-b587e4952d4b
7c897e50-100e-11ec-8ac6-b587e4952d4b, 83, 47369.32341 sec, 7c897dfd-100e-11ec-8ac6-b587e4952d4b
7c897f60-100e-11ec-8ac6-b587e4952d4b, 85, 49334.09768 sec, 7c897ee4-100e-11ec-8ac6-b587e4952d4b
7c8980b0-100e-11ec-8ac6-b587e4952d4b, 89, 52260.14657 sec, 7c898065-100e-11ec-8ac6-b587e4952d4b
7d3c6e0b-100e-11ec-8ac6-b587e4952d4b, 93, 55078.55453 sec, 7d3c6ddf-100e-11ec-8ac6-b587e4952d4b
7d3c6f0b-100e-11ec-8ac6-b587e4952d4b, 96, 57131.242119999995 sec, 7d3c6e88-100e-11ec-8ac6-b587e4952d4b
7d3c70b3-100e-11ec-8ac6-b587e4952d4b, 102, 59748.032 sec, 7d3c7060-100e-11ec-8ac6-b587e4952d4b
7deea73f-100e-11ec-8ac6-b587e4952d4b, 103, 61363.19829 sec, 7d3c70b3-100e-11ec-8ac6-b587e4952d4b
7deea7f4-100e-11ec-8ac6-b587e4952d4b, 104, 61389.93731 sec, 7deea73f-100e-11ec-8ac6-b587e4952d4b
7deea95c-100e-11ec-8ac6-b587e4952d4b, 107, 65668.25523 sec, 7deea901-100e-11ec-8ac6-b587e4952d4b
7deea9de-100e-11ec-8ac6-b587e4952d4b, 108, 65901.98012 sec, 7deea95c-100e-11ec-8ac6-b587e4952d4b
7deeaa19-100e-11ec-8ac6-b587e4952d4b, 110, 67482.47202 sec, 7deea9fe-100e-11ec-8ac6-b587e4952d4b
7deeaaf8-100e-11ec-8ac6-b587e4952d4b, 112, 68123.32704999999 sec, 7deeaace-100e-11ec-8ac6-b587e4952d4b
7f54acc7-100e-11ec-8ac6-b587e4952d4b, 124, 76196.598 sec, 7ea49dc2-100e-11ec-8ac6-b587e4952d4b
7f54ae38-100e-11ec-8ac6-b587e4952d4b, 130, 78623.24290000001 sec, 7f54adff-100e-11ec-8ac6-b587e4952d4b
7f54af03-100e-11ec-8ac6-b587e4952d4b, 134, 79810.44425 sec, 7f54ae9f-100e-11ec-8ac6-b587e4952d4b
7f54afa5-100e-11ec-8ac6-b587e4952d4b, 137, 80976.80181 sec, 7f54af66-100e-11ec-8ac6-b587e4952d4b
80033136-100e-11ec-8ac6-b587e4952d4b, 145, 86666.72757999999 sec, 8003310f-100e-11ec-8ac6-b587e4952d4b
80bde718-100e-11ec-8ac6-b587e4952d4b, 149, 93621.85628 sec, 80bde5ee-100e-11ec-8ac6-b587e4952d4b
80bde730-100e-11ec-8ac6-b587e4952d4b, 150, 94772.13919 sec, 80bde718-100e-11ec-8ac6-b587e4952d4b
80bde7ce-100e-11ec-8ac6-b587e4952d4b, 152, 96880.94592 sec, 80bde7a1-100e-11ec-8ac6-b587e4952d4b
821ac28c-100e-11ec-8ac6-b587e4952d4b, 161, 107519.64056 sec, 817e2b1c-100e-11ec-8ac6-b587e4952d4b
821ac463-100e-11ec-8ac6-b587e4952d4b, 167, 110153.73159000001 sec, 821ac40f-100e-11ec-8ac6-b587e4952d4b
82de2af7-100e-11ec-8ac6-b587e4952d4b, 175, 114547.66187000001 sec, 821ac5ea-100e-11ec-8ac6-b587e4952d4b
82de2c9f-100e-11ec-8ac6-b587e4952d4b, 183, 116680.45644 sec, 82de2c72-100e-11ec-8ac6-b587e4952d4b
82de2ea0-100e-11ec-8ac6-b587e4952d4b, 192, 120430.766 sec, 82de2e68-100e-11ec-8ac6-b587e4952d4b
838c7bac-100e-11ec-8ac6-b587e4952d4b, 197, 123186.81139 sec, 838c7b87-100e-11ec-8ac6-b587e4952d4b
838c7d43-100e-11ec-8ac6-b587e4952d4b, 203, 125358.86770999999 sec, 838c7cd9-100e-11ec-8ac6-b587e4952d4b
838c7df2-100e-11ec-8ac6-b587e4952d4b, 206, 126659.32281999999 sec, 838c7dab-100e-11ec-8ac6-b587e4952d4b
838c7e23-100e-11ec-8ac6-b587e4952d4b, 207, 127328.39086 sec, 838c7df2-100e-11ec-8ac6-b587e4952d4b
838c7e6e-100e-11ec-8ac6-b587e4952d4b, 208, 129318.0735 sec, 838c7e23-100e-11ec-8ac6-b587e4952d4b
844304ca-100e-11ec-8ac6-b587e4952d4b, 209, 129336.62165 sec, 838c7e6e-100e-11ec-8ac6-b587e4952d4b
84430543-100e-11ec-8ac6-b587e4952d4b, 211, 130135.86145 sec, 844304e6-100e-11ec-8ac6-b587e4952d4b
86914380-100e-11ec-8ac6-b587e4952d4b, 246, 153925.83003 sec, 8691435b-100e-11ec-8ac6-b587e4952d4b
869144fb-100e-11ec-8ac6-b587e4952d4b, 253, 155924.71255000003 sec, 869144d7-100e-11ec-8ac6-b587e4952d4b
8810da1f-100e-11ec-8ac6-b587e4952d4b, 268, 165547.22274 sec, 8810d9dd-100e-11ec-8ac6-b587e4952d4b
8810db04-100e-11ec-8ac6-b587e4952d4b, 271, 167274.01713 sec, 8810da7e-100e-11ec-8ac6-b587e4952d4b
8810dcf6-100e-11ec-8ac6-b587e4952d4b, 278, 170722.81128999998 sec, 8810dcc0-100e-11ec-8ac6-b587e4952d4b
8810dd18-100e-11ec-8ac6-b587e4952d4b, 279, 171450.47481 sec, 8810dcf6-100e-11ec-8ac6-b587e4952d4b
