blockHash, blockNum, TimeOfArrival, parentBlockHash
a0874ff9-2ab2-11ec-b0c7-7470fde47180, 1, 373.03959999999995 sec, GENESIS
a2a12e91-2ab2-11ec-95a3-7470fde47180, 2, 426.39469 sec, a0874ff9-2ab2-11ec-b0c7-7470fde47180
a2bd6936-2ab2-11ec-a8e0-7470fde47180, 3, 1267.48842 sec, a2a12e91-2ab2-11ec-95a3-7470fde47180
a2f83d54-2ab2-11ec-9e2f-7470fde47180, 4, 1373.63627 sec, a2bd6936-2ab2-11ec-a8e0-7470fde47180
a3006322-2ab2-11ec-bb69-7470fde47180, 5, 4852.31179 sec, a2f83d54-2ab2-11ec-9e2f-7470fde47180
a3006312-2ab2-11ec-aeb6-7470fde47180, 5, 4852.3261600000005 sec, a2f83d54-2ab2-11ec-9e2f-7470fde47180
a31214d2-2ab2-11ec-a000-7470fde47180, 6, 5551.71741 sec, a3006312-2ab2-11ec-aeb6-7470fde47180
a3cc46f0-2ab2-11ec-a22e-7470fde47180, 6, 5551.736 sec, a3006322-2ab2-11ec-bb69-7470fde47180
a36de485-2ab2-11ec-b054-7470fde47180, 7, 6058.88195 sec, a31214d2-2ab2-11ec-a000-7470fde47180
a40baa22-2ab2-11ec-a3e2-7470fde47180, 7, 6058.93194 sec, a31214d2-2ab2-11ec-a000-7470fde47180
a42caa99-2ab2-11ec-88a6-7470fde47180, 8, 6271.79323 sec, a40baa22-2ab2-11ec-a3e2-7470fde47180
a3afd8cb-2ab2-11ec-887c-7470fde47180, 8, 6271.8095 sec, a36de485-2ab2-11ec-b054-7470fde47180
a451093d-2ab2-11ec-98ec-7470fde47180, 9, 7726.643190000001 sec, a3afd8cb-2ab2-11ec-887c-7470fde47180
a4892959-2ab2-11ec-8d7c-7470fde47180, 10, 7886.26075 sec, a451093d-2ab2-11ec-98ec-7470fde47180
a4a713ae-2ab2-11ec-a7bb-7470fde47180, 11, 9321.23375 sec, a4892959-2ab2-11ec-8d7c-7470fde47180
a4f859ba-2ab2-11ec-8c8f-7470fde47180, 12, 10704.51479 sec, a4a713ae-2ab2-11ec-a7bb-7470fde47180
a4fe1d78-2ab2-11ec-a317-7470fde47180, 12, 10704.76017 sec, a4a713ae-2ab2-11ec-a7bb-7470fde47180
a505936d-2ab2-11ec-b72e-7470fde47180, 13, 15297.00698 sec, a4f859ba-2ab2-11ec-8c8f-7470fde47180
a551b3b6-2ab2-11ec-b9e9-7470fde47180, 13, 15297.04206 sec, a4fe1d78-2ab2-11ec-a317-7470fde47180
a66d5f71-2ab2-11ec-8b50-7470fde47180, 14, 15767.66032 sec, a505936d-2ab2-11ec-b72e-7470fde47180
a538dd29-2ab2-11ec-aa9e-7470fde47180, 14, 15767.67282 sec, a505936d-2ab2-11ec-b72e-7470fde47180
a6a2a753-2ab2-11ec-a3bf-7470fde47180, 15, 15928.24608 sec, a66d5f71-2ab2-11ec-8b50-7470fde47180
a54a8cc3-2ab2-11ec-a0ee-7470fde47180, 15, 15928.26291 sec, a538dd29-2ab2-11ec-aa9e-7470fde47180
a55c3c11-2ab2-11ec-8989-7470fde47180, 16, 16618.31716 sec, a54a8cc3-2ab2-11ec-a0ee-7470fde47180
a6b9e1de-2ab2-11ec-831f-7470fde47180, 16, 16618.67359 sec, a54a8cc3-2ab2-11ec-a0ee-7470fde47180
a55c3c13-2ab2-11ec-877a-7470fde47180, 17, 18074.43889 sec, a55c3c11-2ab2-11ec-8989-7470fde47180
a6dae028-2ab2-11ec-a14e-7470fde47180, 17, 18074.50578 sec, a55c3c11-2ab2-11ec-8989-7470fde47180
a5ba841f-2ab2-11ec-a252-7470fde47180, 18, 19431.584600000002 sec, a55c3c13-2ab2-11ec-877a-7470fde47180
a731e879-2ab2-11ec-bc14-7470fde47180, 18, 19431.60642 sec, a6dae028-2ab2-11ec-a14e-7470fde47180
a604a7f5-2ab2-11ec-9a97-7470fde47180, 19, 21642.89374 sec, a5ba841f-2ab2-11ec-a252-7470fde47180
a794df8e-2ab2-11ec-a349-7470fde47180, 19, 21642.9655 sec, a5ba841f-2ab2-11ec-a252-7470fde47180
a804beb7-2ab2-11ec-b5a4-7470fde47180, 20, 21645.143050000002 sec, a604a7f5-2ab2-11ec-9a97-7470fde47180
a625a40b-2ab2-11ec-b477-7470fde47180, 20, 21645.15737 sec, a604a7f5-2ab2-11ec-9a97-7470fde47180
a6302d57-2ab2-11ec-80fa-7470fde47180, 21, 23113.128170000004 sec, a625a40b-2ab2-11ec-b477-7470fde47180
a819ced1-2ab2-11ec-af7a-7470fde47180, 21, 23113.14714 sec, a625a40b-2ab2-11ec-b477-7470fde47180
a63f26a4-2ab2-11ec-96c7-7470fde47180, 22, 24607.05795 sec, a6302d57-2ab2-11ec-80fa-7470fde47180
a86b0905-2ab2-11ec-ab0d-7470fde47180, 22, 24607.19529 sec, a6302d57-2ab2-11ec-80fa-7470fde47180
a6ec8d61-2ab2-11ec-92cd-7470fde47180, 23, 24841.12634 sec, a63f26a4-2ab2-11ec-96c7-7470fde47180
a8d3b5be-2ab2-11ec-8f4e-7470fde47180, 23, 24841.15586 sec, a63f26a4-2ab2-11ec-96c7-7470fde47180
a71639c5-2ab2-11ec-81f3-7470fde47180, 24, 24946.45503 sec, a6ec8d61-2ab2-11ec-92cd-7470fde47180
a90532ec-2ab2-11ec-8029-7470fde47180, 24, 24946.526859999998 sec, a6ec8d61-2ab2-11ec-92cd-7470fde47180
a7c2ca1c-2ab2-11ec-9034-7470fde47180, 25, 25182.737559999998 sec, a71639c5-2ab2-11ec-81f3-7470fde47180
a91b7790-2ab2-11ec-ad41-7470fde47180, 25, 25182.76488 sec, a90532ec-2ab2-11ec-8029-7470fde47180
a7ee499f-2ab2-11ec-bd1c-7470fde47180, 26, 27012.4026 sec, a7c2ca1c-2ab2-11ec-9034-7470fde47180
a93c6b03-2ab2-11ec-8515-7470fde47180, 26, 27012.53366 sec, a7c2ca1c-2ab2-11ec-9034-7470fde47180
a7f30e3e-2ab2-11ec-8a20-7470fde47180, 27, 27315.65775 sec, a7ee499f-2ab2-11ec-bd1c-7470fde47180
a990028e-2ab2-11ec-98be-7470fde47180, 27, 27315.92215 sec, a7ee499f-2ab2-11ec-bd1c-7470fde47180
a95d864b-2ab2-11ec-9c86-7470fde47180, 28, 31358.972429999998 sec, a7f30e3e-2ab2-11ec-8a20-7470fde47180
a9bb9244-2ab2-11ec-94e8-7470fde47180, 28, 31359.29914 sec, a7f30e3e-2ab2-11ec-8a20-7470fde47180
aaadee7b-2ab2-11ec-b3a8-7470fde47180, 29, 31502.20185 sec, a95d864b-2ab2-11ec-9c86-7470fde47180
a98414ad-2ab2-11ec-abc5-7470fde47180, 29, 31502.21647 sec, a95d864b-2ab2-11ec-9c86-7470fde47180
aac7c4e0-2ab2-11ec-b9be-7470fde47180, 30, 32075.01452 sec, aaadee7b-2ab2-11ec-b3a8-7470fde47180
aae40079-2ab2-11ec-865c-7470fde47180, 31, 33210.69199 sec, aac7c4e0-2ab2-11ec-b9be-7470fde47180
aaed8bd1-2ab2-11ec-bbeb-7470fde47180, 31, 33210.75754 sec, aac7c4e0-2ab2-11ec-b9be-7470fde47180
aaf851e8-2ab2-11ec-8599-7470fde47180, 32, 35610.45514 sec, aae40079-2ab2-11ec-865c-7470fde47180
ab300249-2ab2-11ec-babd-7470fde47180, 32, 35610.62782 sec, aae40079-2ab2-11ec-865c-7470fde47180
abc5ee57-2ab2-11ec-827b-7470fde47180, 33, 42894.72047 sec, ab300249-2ab2-11ec-babd-7470fde47180
ab88d20f-2ab2-11ec-a8a0-7470fde47180, 33, 42894.72498 sec, aaf851e8-2ab2-11ec-8599-7470fde47180
ad448a7f-2ab2-11ec-8fc3-7470fde47180, 34, 44504.27787 sec, abc5ee57-2ab2-11ec-827b-7470fde47180
ab88d211-2ab2-11ec-bce8-7470fde47180, 34, 44504.29458 sec, ab88d20f-2ab2-11ec-a8a0-7470fde47180
aba29b6c-2ab2-11ec-9012-7470fde47180, 35, 46654.29461 sec, ab88d211-2ab2-11ec-bce8-7470fde47180
adba45ef-2ab2-11ec-837f-7470fde47180, 35, 46654.33921 sec, ab88d211-2ab2-11ec-bce8-7470fde47180
abde2469-2ab2-11ec-9c58-7470fde47180, 36, 48727.39682 sec, aba29b6c-2ab2-11ec-9012-7470fde47180
ae3f4473-2ab2-11ec-a0a7-7470fde47180, 36, 48727.575979999994 sec, adba45ef-2ab2-11ec-837f-7470fde47180
abf16189-2ab2-11ec-815a-7470fde47180, 37, 50602.05211 sec, abde2469-2ab2-11ec-9c58-7470fde47180
aebe466b-2ab2-11ec-a029-7470fde47180, 37, 50602.12731 sec, abde2469-2ab2-11ec-9c58-7470fde47180
abf1618b-2ab2-11ec-963f-7470fde47180, 38, 51383.734549999994 sec, abf16189-2ab2-11ec-815a-7470fde47180
af26c107-2ab2-11ec-9b9e-7470fde47180, 38, 51384.01891 sec, abf16189-2ab2-11ec-815a-7470fde47180
ac4adbdd-2ab2-11ec-838f-7470fde47180, 39, 52011.60689 sec, abf1618b-2ab2-11ec-963f-7470fde47180
af6d6833-2ab2-11ec-bf84-7470fde47180, 39, 52011.61322 sec, abf1618b-2ab2-11ec-963f-7470fde47180
ac4fa083-2ab2-11ec-b03e-7470fde47180, 40, 52507.18185 sec, ac4adbdd-2ab2-11ec-838f-7470fde47180
afa37d98-2ab2-11ec-b7f4-7470fde47180, 40, 52507.30188 sec, af6d6833-2ab2-11ec-bf84-7470fde47180
ac8a74b0-2ab2-11ec-8b01-7470fde47180, 41, 55710.98901 sec, ac4fa083-2ab2-11ec-b03e-7470fde47180
afd3d00f-2ab2-11ec-9b75-7470fde47180, 41, 55711.040259999994 sec, ac4fa083-2ab2-11ec-b03e-7470fde47180
b079d1a1-2ab2-11ec-9473-7470fde47180, 42, 55773.10785 sec, afd3d00f-2ab2-11ec-9b75-7470fde47180
ac9f88ce-2ab2-11ec-8c5c-7470fde47180, 42, 55773.12072 sec, ac8a74b0-2ab2-11ec-8b01-7470fde47180
b09d373f-2ab2-11ec-b238-7470fde47180, 43, 57520.839140000004 sec, b079d1a1-2ab2-11ec-9473-7470fde47180
acd4a63d-2ab2-11ec-9559-7470fde47180, 43, 57520.852909999994 sec, ac9f88ce-2ab2-11ec-8c5c-7470fde47180
acfdd14a-2ab2-11ec-9170-7470fde47180, 44, 59508.50765 sec, acd4a63d-2ab2-11ec-9559-7470fde47180
b110535c-2ab2-11ec-902a-7470fde47180, 44, 59508.634399999995 sec, b09d373f-2ab2-11ec-b238-7470fde47180
ad16266f-2ab2-11ec-b658-7470fde47180, 45, 61962.175 sec, acfdd14a-2ab2-11ec-9170-7470fde47180
b18aa9bc-2ab2-11ec-afd9-7470fde47180, 45, 61962.381689999995 sec, acfdd14a-2ab2-11ec-9170-7470fde47180
ad852cbe-2ab2-11ec-b892-7470fde47180, 46, 64945.06058 sec, ad16266f-2ab2-11ec-b658-7470fde47180
b23c286f-2ab2-11ec-bcaa-7470fde47180, 46, 64945.321229999994 sec, ad16266f-2ab2-11ec-b658-7470fde47180
ad937be5-2ab2-11ec-bda6-7470fde47180, 47, 65780.79759 sec, ad852cbe-2ab2-11ec-b892-7470fde47180
b2e46cc5-2ab2-11ec-ad64-7470fde47180, 47, 65780.91683 sec, ad852cbe-2ab2-11ec-b892-7470fde47180
b32750f7-2ab2-11ec-8eb6-7470fde47180, 48, 66407.59368 sec, ad937be5-2ab2-11ec-bda6-7470fde47180
ade1007a-2ab2-11ec-8877-7470fde47180, 48, 66407.63522 sec, ad937be5-2ab2-11ec-bda6-7470fde47180
b36489cf-2ab2-11ec-8f81-7470fde47180, 49, 68012.40351999999 sec, b32750f7-2ab2-11ec-8eb6-7470fde47180
adea8bd0-2ab2-11ec-9a44-7470fde47180, 49, 68012.4176 sec, ade1007a-2ab2-11ec-8877-7470fde47180
ae6f84bc-2ab2-11ec-b1c7-7470fde47180, 50, 68348.51744 sec, adea8bd0-2ab2-11ec-9a44-7470fde47180
b3f0b5b4-2ab2-11ec-9f30-7470fde47180, 50, 68348.76195 sec, adea8bd0-2ab2-11ec-9a44-7470fde47180
b41c477d-2ab2-11ec-8a7a-7470fde47180, 51, 69028.53038 sec, b3f0b5b4-2ab2-11ec-9f30-7470fde47180
ae988b1a-2ab2-11ec-a1b2-7470fde47180, 51, 69028.54422 sec, ae6f84bc-2ab2-11ec-b1c7-7470fde47180
b44c9eac-2ab2-11ec-a7a2-7470fde47180, 52, 69097.92611 sec, b41c477d-2ab2-11ec-8a7a-7470fde47180
aeda6426-2ab2-11ec-a7ca-7470fde47180, 52, 69097.93913 sec, ae988b1a-2ab2-11ec-a1b2-7470fde47180
af17714f-2ab2-11ec-b176-7470fde47180, 53, 71053.39881 sec, aeda6426-2ab2-11ec-a7ca-7470fde47180
b477d7ad-2ab2-11ec-9a05-7470fde47180, 53, 71053.8832 sec, aeda6426-2ab2-11ec-a7ca-7470fde47180
af45521f-2ab2-11ec-8ded-7470fde47180, 54, 73851.00770999999 sec, af17714f-2ab2-11ec-b176-7470fde47180
b50b8eea-2ab2-11ec-932a-7470fde47180, 54, 73851.09045999999 sec, af17714f-2ab2-11ec-b176-7470fde47180
af63deb8-2ab2-11ec-ae25-7470fde47180, 55, 75283.98912 sec, af45521f-2ab2-11ec-8ded-7470fde47180
b5a42286-2ab2-11ec-ab6f-7470fde47180, 55, 75284.03176000001 sec, b50b8eea-2ab2-11ec-932a-7470fde47180
af98f26e-2ab2-11ec-891f-7470fde47180, 56, 75376.42583 sec, af63deb8-2ab2-11ec-ae25-7470fde47180
b5fafb83-2ab2-11ec-822f-7470fde47180, 56, 75376.59892 sec, af63deb8-2ab2-11ec-ae25-7470fde47180
afc21da6-2ab2-11ec-9b0b-7470fde47180, 57, 77742.9616 sec, af98f26e-2ab2-11ec-891f-7470fde47180
b62d8c5b-2ab2-11ec-8fc6-7470fde47180, 57, 77742.98939 sec, b5fafb83-2ab2-11ec-822f-7470fde47180
afca4496-2ab2-11ec-82a2-7470fde47180, 58, 78012.16832 sec, afc21da6-2ab2-11ec-9b0b-7470fde47180
b6d93e81-2ab2-11ec-955b-7470fde47180, 58, 78012.41505 sec, afc21da6-2ab2-11ec-9b0b-7470fde47180
b058cdbc-2ab2-11ec-b428-7470fde47180, 59, 78308.98079 sec, afca4496-2ab2-11ec-82a2-7470fde47180
b7015c83-2ab2-11ec-b3b0-7470fde47180, 59, 78309.15315000001 sec, afca4496-2ab2-11ec-82a2-7470fde47180
b0ce5917-2ab2-11ec-97c0-7470fde47180, 60, 79569.86264 sec, b058cdbc-2ab2-11ec-b428-7470fde47180
b72f4c7d-2ab2-11ec-bc22-7470fde47180, 60, 79570.25356 sec, b058cdbc-2ab2-11ec-b428-7470fde47180
b7a76180-2ab2-11ec-b954-7470fde47180, 61, 79867.11220999999 sec, b72f4c7d-2ab2-11ec-bc22-7470fde47180
b10df112-2ab2-11ec-901b-7470fde47180, 61, 79867.12245000001 sec, b0ce5917-2ab2-11ec-97c0-7470fde47180
b1676133-2ab2-11ec-a6ae-7470fde47180, 62, 81275.32927 sec, b10df112-2ab2-11ec-901b-7470fde47180
