Peer ID : 7
Mean Block Creation Time : 30000.0 ms


5c7d4723-0e6f-11ec-8feb-0dcea3726d40 : 148964.59 ms

5c7d4737-0e6f-11ec-8feb-0dcea3726d40 : 181909.45 ms

5c7d476f-0e6f-11ec-8feb-0dcea3726d40 : 212201.79 ms

5c7d478a-0e6f-11ec-8feb-0dcea3726d40 : 215325.4 ms

5c7d479c-0e6f-11ec-8feb-0dcea3726d40 : 245228.52 ms

5c7d47bd-0e6f-11ec-8feb-0dcea3726d40 : 265502.5 ms

5c7d47cf-0e6f-11ec-8feb-0dcea3726d40 : 282964.84 ms

5c7d4807-0e6f-11ec-8feb-0dcea3726d40 : 332449.03 ms

5c7d481d-0e6f-11ec-8feb-0dcea3726d40 : 520876.25 ms

5c7d4861-0e6f-11ec-8feb-0dcea3726d40 : 577865.29 ms

5c7d4892-0e6f-11ec-8feb-0dcea3726d40 : 607161.96 ms

5c7d48b0-0e6f-11ec-8feb-0dcea3726d40 : 646506.58 ms

5c7d48c8-0e6f-11ec-8feb-0dcea3726d40 : 662295.27 ms

5c7d48e6-0e6f-11ec-8feb-0dcea3726d40 : 686545.29 ms

5c7d48f4-0e6f-11ec-8feb-0dcea3726d40 : 710613.02 ms

5c7d4916-0e6f-11ec-8feb-0dcea3726d40 : 725124.22 ms

5c7d492e-0e6f-11ec-8feb-0dcea3726d40 : 733475.28 ms

5c7d4947-0e6f-11ec-8feb-0dcea3726d40 : 745569.27 ms

5c7d4968-0e6f-11ec-8feb-0dcea3726d40 : 875849.7 ms

5c7d49a4-0e6f-11ec-8feb-0dcea3726d40 : 901665.67 ms

5c7d49c8-0e6f-11ec-8feb-0dcea3726d40 : 950277.65 ms

5c7d4a0d-0e6f-11ec-8feb-0dcea3726d40 : 1035450.83 ms

5c7d4a34-0e6f-11ec-8feb-0dcea3726d40 : 1040435.34 ms

5c7d4a48-0e6f-11ec-8feb-0dcea3726d40 : 1062340.52 ms

5c7d4a5f-0e6f-11ec-8feb-0dcea3726d40 : 1095299.9 ms

5c7d4a7c-0e6f-11ec-8feb-0dcea3726d40 : 1124007.77 ms

5ce8c52b-0e6f-11ec-8feb-0dcea3726d40 : 1198011.69 ms

5ce8c55e-0e6f-11ec-8feb-0dcea3726d40 : 1266212.32 ms

5ce8c589-0e6f-11ec-8feb-0dcea3726d40 : 1298608.26 ms

5ce8c59f-0e6f-11ec-8feb-0dcea3726d40 : 1352043.99 ms

5ce8c5c3-0e6f-11ec-8feb-0dcea3726d40 : 1362888.67 ms

5ce8c5e1-0e6f-11ec-8feb-0dcea3726d40 : 1378203.06 ms

5ce8c5f9-0e6f-11ec-8feb-0dcea3726d40 : 1429967.12 ms

5ce8c615-0e6f-11ec-8feb-0dcea3726d40 : 1472510.52 ms

5ce8c637-0e6f-11ec-8feb-0dcea3726d40 : 1490047.66 ms

5ce8c651-0e6f-11ec-8feb-0dcea3726d40 : 1517765.45 ms

5ce8c679-0e6f-11ec-8feb-0dcea3726d40 : 1535935.19 ms

5ce8c698-0e6f-11ec-8feb-0dcea3726d40 : 1549810.54 ms

5ce8c6a7-0e6f-11ec-8feb-0dcea3726d40 : 1560283.77 ms

5ce8c6d6-0e6f-11ec-8feb-0dcea3726d40 : 1601687.84 ms

5ce8c6fe-0e6f-11ec-8feb-0dcea3726d40 : 1633164.61 ms

5ce8c72a-0e6f-11ec-8feb-0dcea3726d40 : 1677830.3 ms

5ce8c748-0e6f-11ec-8feb-0dcea3726d40 : 1698330.75 ms

5ce8c765-0e6f-11ec-8feb-0dcea3726d40 : 1704031.16 ms

5ce8c77a-0e6f-11ec-8feb-0dcea3726d40 : 1739672.62 ms

5ce8c792-0e6f-11ec-8feb-0dcea3726d40 : 1762083.47 ms

5ce8c7a1-0e6f-11ec-8feb-0dcea3726d40 : 1767430.99 ms

5ce8c7cd-0e6f-11ec-8feb-0dcea3726d40 : 1814338.28 ms

5ce8c7f3-0e6f-11ec-8feb-0dcea3726d40 : 1832693.92 ms

5ce8c814-0e6f-11ec-8feb-0dcea3726d40 : 1833224.24 ms

5ce8c84a-0e6f-11ec-8feb-0dcea3726d40 : 1893147.2 ms

5ce8c860-0e6f-11ec-8feb-0dcea3726d40 : 1909603.73 ms

5ce8c884-0e6f-11ec-8feb-0dcea3726d40 : 1920635.03 ms

5ce8c88d-0e6f-11ec-8feb-0dcea3726d40 : 1929713.95 ms

5ce8c8af-0e6f-11ec-8feb-0dcea3726d40 : 1943390.17 ms

5ce8c8c6-0e6f-11ec-8feb-0dcea3726d40 : 2008481.85 ms

5ce8c8ea-0e6f-11ec-8feb-0dcea3726d40 : 2048049.51 ms

5d453cc7-0e6f-11ec-8feb-0dcea3726d40 : 2050782.73 ms

5d453cdc-0e6f-11ec-8feb-0dcea3726d40 : 2061251.98 ms

5d453ced-0e6f-11ec-8feb-0dcea3726d40 : 2081797.86 ms

5d453d0a-0e6f-11ec-8feb-0dcea3726d40 : 2089859.51 ms

5d453d43-0e6f-11ec-8feb-0dcea3726d40 : 2135194.95 ms

5d453d4d-0e6f-11ec-8feb-0dcea3726d40 : 2141321.15 ms

5d453d72-0e6f-11ec-8feb-0dcea3726d40 : 2157865.67 ms

5d453d84-0e6f-11ec-8feb-0dcea3726d40 : 2161880.23 ms

5d453da0-0e6f-11ec-8feb-0dcea3726d40 : 2171639.94 ms

5d453da6-0e6f-11ec-8feb-0dcea3726d40 : 2201081.47 ms

5d453dc2-0e6f-11ec-8feb-0dcea3726d40 : 2216883.8 ms

5d453de4-0e6f-11ec-8feb-0dcea3726d40 : 2226995.82 ms

5d453e00-0e6f-11ec-8feb-0dcea3726d40 : 2299427.33 ms

5d453e24-0e6f-11ec-8feb-0dcea3726d40 : 2331515.73 ms

5d453e48-0e6f-11ec-8feb-0dcea3726d40 : 2333481.84 ms

5d453e59-0e6f-11ec-8feb-0dcea3726d40 : 2412657.9 ms

5d453e8e-0e6f-11ec-8feb-0dcea3726d40 : 2437746.78 ms

5d453eab-0e6f-11ec-8feb-0dcea3726d40 : 2441562.32 ms

5d453eb8-0e6f-11ec-8feb-0dcea3726d40 : 2460226.3 ms

5d453ed4-0e6f-11ec-8feb-0dcea3726d40 : 2494172.16 ms

5d453eef-0e6f-11ec-8feb-0dcea3726d40 : 2518857.38 ms

5d453f2c-0e6f-11ec-8feb-0dcea3726d40 : 2536373.85 ms

5d453f34-0e6f-11ec-8feb-0dcea3726d40 : 2560012.85 ms

5d453f5c-0e6f-11ec-8feb-0dcea3726d40 : 2575791.32 ms

5d453f74-0e6f-11ec-8feb-0dcea3726d40 : 2606751.21 ms

5d453f91-0e6f-11ec-8feb-0dcea3726d40 : 2643179.33 ms

5d453fb7-0e6f-11ec-8feb-0dcea3726d40 : 2647702.74 ms

5d453ff3-0e6f-11ec-8feb-0dcea3726d40 : 2717026.57 ms

5d454006-0e6f-11ec-8feb-0dcea3726d40 : 2717784.2 ms

5d45402a-0e6f-11ec-8feb-0dcea3726d40 : 2723910.19 ms

5d454039-0e6f-11ec-8feb-0dcea3726d40 : 2726629.16 ms

5d454076-0e6f-11ec-8feb-0dcea3726d40 : 2810855.24 ms

5d9eb466-0e6f-11ec-8feb-0dcea3726d40 : 2884458.17 ms

5d9eb48d-0e6f-11ec-8feb-0dcea3726d40 : 2887612.79 ms

5d9eb4a4-0e6f-11ec-8feb-0dcea3726d40 : 2939413.82 ms

5d9eb4c7-0e6f-11ec-8feb-0dcea3726d40 : 2965178.8 ms

5d9eb4ef-0e6f-11ec-8feb-0dcea3726d40 : 2992879.78 ms

5d9eb4ff-0e6f-11ec-8feb-0dcea3726d40 : 3055963.27 ms

5d9eb52b-0e6f-11ec-8feb-0dcea3726d40 : 3134603.72 ms

5d9eb560-0e6f-11ec-8feb-0dcea3726d40 : 3151985.94 ms

5d9eb576-0e6f-11ec-8feb-0dcea3726d40 : 3187470.76 ms

5d9eb5c6-0e6f-11ec-8feb-0dcea3726d40 : 3295833.41 ms

5d9eb5e5-0e6f-11ec-8feb-0dcea3726d40 : 3320778.22 ms

5d9eb605-0e6f-11ec-8feb-0dcea3726d40 : 3369616.66 ms

5d9eb634-0e6f-11ec-8feb-0dcea3726d40 : 3409900.67 ms

5d9eb64f-0e6f-11ec-8feb-0dcea3726d40 : 3412012.86 ms

5d9eb681-0e6f-11ec-8feb-0dcea3726d40 : 3460154.99 ms

5d9eb69d-0e6f-11ec-8feb-0dcea3726d40 : 3462307.21 ms

5d9eb6be-0e6f-11ec-8feb-0dcea3726d40 : 3544294.61 ms

5d9eb6e2-0e6f-11ec-8feb-0dcea3726d40 : 3548108.23 ms

5d9eb6fa-0e6f-11ec-8feb-0dcea3726d40 : 3608145.77 ms

5d9eb715-0e6f-11ec-8feb-0dcea3726d40 : 3656044.13 ms

5d9eb74c-0e6f-11ec-8feb-0dcea3726d40 : 3681522.31 ms

5d9eb775-0e6f-11ec-8feb-0dcea3726d40 : 3716514.82 ms

5d9eb784-0e6f-11ec-8feb-0dcea3726d40 : 3727530.74 ms

5d9eb79b-0e6f-11ec-8feb-0dcea3726d40 : 3768905.67 ms

5d9eb7be-0e6f-11ec-8feb-0dcea3726d40 : 3814612.97 ms

5d9eb7ef-0e6f-11ec-8feb-0dcea3726d40 : 3903863.96 ms

5d9eb81b-0e6f-11ec-8feb-0dcea3726d40 : 3929442.2 ms

5e12d6f5-0e6f-11ec-8feb-0dcea3726d40 : 3962029.61 ms

5e12d711-0e6f-11ec-8feb-0dcea3726d40 : 3969703.85 ms

5e12d719-0e6f-11ec-8feb-0dcea3726d40 : 4002555.69 ms

5e12d745-0e6f-11ec-8feb-0dcea3726d40 : 4036903.27 ms

5e12d765-0e6f-11ec-8feb-0dcea3726d40 : 4154246.7 ms

5e12d797-0e6f-11ec-8feb-0dcea3726d40 : 4156955.19 ms

5e12d7ae-0e6f-11ec-8feb-0dcea3726d40 : 4162112.94 ms

5e12d7c1-0e6f-11ec-8feb-0dcea3726d40 : 4164605.39 ms

5e12d7e8-0e6f-11ec-8feb-0dcea3726d40 : 4178828.14 ms

5e12d7ff-0e6f-11ec-8feb-0dcea3726d40 : 4181773.09 ms

5e12d80b-0e6f-11ec-8feb-0dcea3726d40 : 4193070.08 ms

5e12d828-0e6f-11ec-8feb-0dcea3726d40 : 4258584.35 ms

5e12d854-0e6f-11ec-8feb-0dcea3726d40 : 4260903.65 ms

5e12d875-0e6f-11ec-8feb-0dcea3726d40 : 4286220.84 ms

5e12d893-0e6f-11ec-8feb-0dcea3726d40 : 4333491.34 ms

5e12d8c1-0e6f-11ec-8feb-0dcea3726d40 : 4345212.93 ms

5e12d8db-0e6f-11ec-8feb-0dcea3726d40 : 4428215.67 ms

5e12d914-0e6f-11ec-8feb-0dcea3726d40 : 4452700.79 ms

5e12d934-0e6f-11ec-8feb-0dcea3726d40 : 4456185.15 ms

5e12d948-0e6f-11ec-8feb-0dcea3726d40 : 4488044.67 ms

5e12d963-0e6f-11ec-8feb-0dcea3726d40 : 4492751.51 ms

5e12d985-0e6f-11ec-8feb-0dcea3726d40 : 4509584.02 ms

5e12d990-0e6f-11ec-8feb-0dcea3726d40 : 4524317.71 ms

5e12d9d5-0e6f-11ec-8feb-0dcea3726d40 : 4556478.85 ms

5e12d9db-0e6f-11ec-8feb-0dcea3726d40 : 4603656.5 ms

5e12da17-0e6f-11ec-8feb-0dcea3726d40 : 4621981.33 ms

5e12da23-0e6f-11ec-8feb-0dcea3726d40 : 4650205.86 ms

5e12da40-0e6f-11ec-8feb-0dcea3726d40 : 4706522.29 ms

5e12da6d-0e6f-11ec-8feb-0dcea3726d40 : 4828899.22 ms

5e12daa9-0e6f-11ec-8feb-0dcea3726d40 : 4850361.8 ms

5e12dac4-0e6f-11ec-8feb-0dcea3726d40 : 4914785.97 ms

5e7f524e-0e6f-11ec-8feb-0dcea3726d40 : 4915516.18 ms

5e7f525f-0e6f-11ec-8feb-0dcea3726d40 : 4948640.59 ms

5e7f5286-0e6f-11ec-8feb-0dcea3726d40 : 4956988.37 ms

5e7f529f-0e6f-11ec-8feb-0dcea3726d40 : 5000588.79 ms

5e7f52d4-0e6f-11ec-8feb-0dcea3726d40 : 5033328.77 ms

5e7f52f3-0e6f-11ec-8feb-0dcea3726d40 : 5042522.64 ms

5e7f52fe-0e6f-11ec-8feb-0dcea3726d40 : 5054217.35 ms

5e7f5320-0e6f-11ec-8feb-0dcea3726d40 : 5086395.03 ms

5e7f532e-0e6f-11ec-8feb-0dcea3726d40 : 5094230.88 ms

5e7f5355-0e6f-11ec-8feb-0dcea3726d40 : 5097607.53 ms

5e7f536e-0e6f-11ec-8feb-0dcea3726d40 : 5111307.6 ms

5e7f5384-0e6f-11ec-8feb-0dcea3726d40 : 5173201.14 ms

5e7f53ad-0e6f-11ec-8feb-0dcea3726d40 : 5188635.58 ms

5e7f53b4-0e6f-11ec-8feb-0dcea3726d40 : 5205097.32 ms

5e7f53cc-0e6f-11ec-8feb-0dcea3726d40 : 5211126.72 ms

5e7f53e0-0e6f-11ec-8feb-0dcea3726d40 : 5253742.9 ms

5e7f5404-0e6f-11ec-8feb-0dcea3726d40 : 5317489.43 ms

5e7f5438-0e6f-11ec-8feb-0dcea3726d40 : 5345222.34 ms

5e7f547d-0e6f-11ec-8feb-0dcea3726d40 : 5373543.22 ms

5e7f54a3-0e6f-11ec-8feb-0dcea3726d40 : 5397823.54 ms

5e7f54b4-0e6f-11ec-8feb-0dcea3726d40 : 5477671.19 ms

5e7f54e6-0e6f-11ec-8feb-0dcea3726d40 : 5506757.16 ms

5e7f54f8-0e6f-11ec-8feb-0dcea3726d40 : 5561458.91 ms

5e7f5522-0e6f-11ec-8feb-0dcea3726d40 : 5637206.52 ms

5e7f5565-0e6f-11ec-8feb-0dcea3726d40 : 5640012.5 ms

5e7f5582-0e6f-11ec-8feb-0dcea3726d40 : 5644431.08 ms

5e7f5595-0e6f-11ec-8feb-0dcea3726d40 : 5674344.24 ms

5e7f55b8-0e6f-11ec-8feb-0dcea3726d40 : 5755277.75 ms

5e7f55d8-0e6f-11ec-8feb-0dcea3726d40 : 5771356.62 ms

5edd47ce-0e6f-11ec-8feb-0dcea3726d40 : 5795796.25 ms

5edd47dc-0e6f-11ec-8feb-0dcea3726d40 : 5811455.99 ms

5edd47fc-0e6f-11ec-8feb-0dcea3726d40 : 5840005.19 ms

5edd480b-0e6f-11ec-8feb-0dcea3726d40 : 5880428.86 ms

5edd4830-0e6f-11ec-8feb-0dcea3726d40 : 5906088.87 ms

5edd484e-0e6f-11ec-8feb-0dcea3726d40 : 5955248.78 ms

5edd486f-0e6f-11ec-8feb-0dcea3726d40 : 5967706.78 ms

5edd4882-0e6f-11ec-8feb-0dcea3726d40 : 5977506.4 ms

5edd48a3-0e6f-11ec-8feb-0dcea3726d40 : 5987868.07 ms

5edd48a8-0e6f-11ec-8feb-0dcea3726d40 : 6006354.2 ms

5edd48c7-0e6f-11ec-8feb-0dcea3726d40 : 6049548.53 ms

5edd48fc-0e6f-11ec-8feb-0dcea3726d40 : 6066642.73 ms

5edd491a-0e6f-11ec-8feb-0dcea3726d40 : 6106801.03 ms

5edd4941-0e6f-11ec-8feb-0dcea3726d40 : 6109119.4 ms

5edd495f-0e6f-11ec-8feb-0dcea3726d40 : 6117232.03 ms

5edd4978-0e6f-11ec-8feb-0dcea3726d40 : 6133522.99 ms

5edd4995-0e6f-11ec-8feb-0dcea3726d40 : 6160740.45 ms

